alumni_id,roll_number,name,department,batch_year,graduation_year,current_company,current_designation,years_of_experience,total_companies_worked,location,current_salary,career_domain,specialization,total_skills,linkedin_connections,github_contributions,is_mentor,mentees_count,mentor_rating,workshops_conducted,talks_given,publications,patents,open_source_contributions,career_growth_rate,job_satisfaction,willing_to_relocate,preferred_mentee_department,preferred_mentee_skills,availability_hours_per_month,response_time_hours,success_score
1,17CSE001,Rajesh Kumar,CSE,2017,2021,Google,Senior Software Engineer,5,2,Bangalore,2800000,Software Engineering,Backend Systems,22,850,245,1,3,4.8,2,1,0,0,5,85,9,0,CSE|IT,Python|Java|Distributed Systems,8,12,95
2,17CSE002,Priya Sharma,CSE,2017,2021,Amazon,Software Development Engineer III,5,3,Hyderabad,2600000,Cloud Engineering,AWS Infrastructure,20,720,189,1,2,4.6,1,0,0,0,3,80,8,1,CSE|IT|CSM,AWS|Cloud|Python,6,18,92
3,17IT001,Vikram Singh,IT,2017,2021,Microsoft,Senior DevOps Engineer,5,2,Pune,2500000,DevOps,CI/CD,19,680,156,1,4,4.9,3,2,0,0,8,88,9,0,IT|CSE,DevOps|Kubernetes|Azure,10,8,96
4,17ECE001,Anjali Reddy,ECE,2017,2021,Intel,Senior Design Engineer,5,2,Bangalore,2400000,Hardware Design,VLSI,17,520,78,1,1,4.5,1,1,2,0,0,75,8,0,ECE,Verilog|VLSI|ASIC,4,24,90
5,17EEE001,Sanjay Patel,EEE,2017,2021,ABB,Senior Power Systems Engineer,5,2,Mumbai,2200000,Power Systems,Grid Design,15,450,0,1,2,4.7,2,1,1,0,0,78,8,0,EEE,Power Systems|MATLAB,6,16,91
6,17MEC001,Kavya Nair,MEC,2017,2021,Bosch,Senior Mechanical Engineer,5,2,Bangalore,2300000,Automotive,Powertrain,16,490,0,1,1,4.4,1,0,1,0,0,72,8,0,MEC,SolidWorks|Automotive,5,20,89
7,17CIV001,Arun Kumar,CIV,2017,2021,L&T Construction,Senior Structural Engineer,5,1,Chennai,2000000,Structural Design,High-Rise Buildings,13,380,0,1,1,4.3,1,1,0,0,0,68,7,0,CIV,Staad Pro|AutoCAD,4,24,87
8,18CSE001,Deepak Gupta,CSE,2018,2022,Meta,Software Engineer,4,2,Bangalore,2700000,Full Stack,React Native,21,780,210,1,3,4.7,2,1,0,0,4,82,9,0,CSE|IT,React|Node|Mobile,8,12,94
9,18CSE002,Sneha Iyer,CSE,2018,2022,Netflix,Senior Backend Engineer,4,2,Mumbai,2600000,Backend,Microservices,20,695,178,1,2,4.8,2,2,0,0,6,86,9,1,CSE,Java|Spring|Microservices,7,10,95
10,18IT001,Rahul Desai,IT,2018,2022,Atlassian,DevOps Engineer,4,2,Hyderabad,2400000,DevOps,Atlassian Tools,18,610,145,1,2,4.6,1,1,0,0,3,79,8,0,IT|CSE,Jenkins|Bitbucket|Jira,6,14,92
11,18ECE002,Lakshmi Menon,ECE,2018,2022,Qualcomm,RF Engineer,4,1,Bangalore,2350000,Wireless,5G RF,16,485,65,1,1,4.5,1,0,1,0,0,74,8,0,ECE,RF Design|5G,5,18,90
12,18EEE002,Karthik Reddy,EEE,2018,2022,Siemens,Control Systems Engineer,4,2,Pune,2150000,Automation,Industrial Control,14,420,0,1,1,4.4,1,1,0,0,0,71,7,0,EEE,PLC|SCADA,4,20,88
13,18MEC002,Divya Krishnan,MEC,2018,2022,Tata Motors,Product Engineer,4,1,Pune,2200000,Automotive,EV Powertrain,15,455,0,1,2,4.6,2,1,1,0,0,76,8,0,MEC,Electric Vehicles|CAD,6,16,91
14,18CIV002,Manoj Kumar,CIV,2018,2022,Shapoorji Pallonji,Project Engineer,4,2,Mumbai,1950000,Construction,Project Management,12,360,0,1,1,4.2,1,0,0,0,0,65,7,0,CIV,Project Management|BIM,4,24,86
15,19CSE001,Aarti Verma,CSE,2019,2023,Flipkart,Software Engineer,3,1,Bangalore,2000000,E-commerce,Backend,18,620,156,1,2,4.7,1,1,0,0,4,81,8,0,CSE|IT,Java|Microservices|Kafka,6,14,93
16,19CSE002,Suresh Babu,CSE,2019,2023,Swiggy,Senior Software Engineer,3,2,Hyderabad,1900000,Food Tech,Backend APIs,17,580,142,1,1,4.5,1,0,0,0,2,77,8,1,CSE,Python|Django|Redis,5,16,91
17,19IT002,Pooja Rao,IT,2019,2023,TCS,Cloud Engineer,3,1,Pune,1600000,Cloud,Azure,16,510,98,1,1,4.3,1,1,0,0,1,73,7,0,IT|CSE,Azure|Terraform,4,18,88
